Name of Clinic	Address	Long	Lat
Assemblies of God Medical Clinic	"No. 11-12, G/F, Suet Fung House, Fung Tak Estate, Diamond Hill, Kowloon"	114.20165	22.34434
Black Point Power Station Health Centre	"Black Point Power Station, Lung Kwu Tan Road, Tuen Mun, New Territories"	113.91925	22.3947
BOCHK Health Care Division	"Room 1460, Bank of China Tower, 1 Garden Road, Central, Hong Kong"	114.15998	22.27847
BOCHK Health Care Division (BOC Centre)	"30/F, Bank of China Centre, Olympian City, 11 Hoi Fai Road, West Kowloon, Kowloon"	103.7358093	36.56311417
Caritas Clinic – Caine Road	"Medical Clinic - Room 032, G/F, Caritas House, 2 Caine Road, Hong Kong"	114.1912231	22.33308029
Caritas Clinic – Ngau Tau Kok	"Room 1, G/F, 1 On Tak Road, Ngau Tau Kok, Kowloon"	114.2167539	22.3192344
Caritas Jockey Club Tsuen Wan Clinic	"Room 3, G/F, Block B, 146 Chung On Street, Tsuen Wan, New Territories"	114.11597	22.36823
Castle Peak Power Station Health Centre	"Castle Peak Power Station, Lung Yiu Street, Tuen Mun, New Territories"	113.92664	22.3712
Centre of Wellness (Kwun Tong)	"Unit 7-8 (Area A), 20/F, Elite Centre, 22 Hung To Road, Kwun Tong, Kowloon"	114.21918	22.31341
Chee Kwong Free Clinic	"297 Pai Tau Village, Sha Tin, New Territories"	114.1917496	22.38241959
Ching Chung No. 2 Clinic	"28 Tsing Chung Koon Road, Tuen Mun, New Territories"	113.972981	22.4084465
Christian Family Service Centre Medical Clinic	"Room A, G/F, 3 Tsui Ping Road, Kwun Tong, Kowloon"	114.22907	22.31165
Clinic of China Resources Company	"D/F, Causeway Centre, 28 Harbour Road, Wan Chai, Hong Kong"	114.17612	22.28075
Emmanuel Medical Mission	"Medical Room, 1/F, 40 Shing Tak Street, Kowloon City, Kowloon"	114.18809	22.32443
Fung Kai Public School – Fung Kai Care & Attention Home for the Elderly Medical Centre	"22 Tin Ping Road, Sheung Shui, New Territories"	114.13053	22.5074
HAECO Medical Clinic (Chek Lap Kok)	"3/F, West Annex, Hangar 2, 80 South Perimeter Road, Hong Kong International Airport, Lantau, Hong Kong"	113.89949	22.30416
HAECO Medical Clinic (TKO)	"3/F, 80 Chun Choi Street, Tseung Kwan O Industrial Estate, Tseung Kwan O, Sai Kung, New Territories"	114.27232	22.2805
Haven of Hope Bradbury King Lam Clinic	"Western Clinic, Shop No. 3, G/F, King Lui House, King Lam Estate, Tseung Kwan O, New Territories"	114.2616501	22.32155037
Haven of Hope Causeway Bay Medical Centre	"17/F, 119 Leighton Road, Congregational House, Causeway Bay, Hong Kong"	114.18631	22.27814
Haven of Hope S K Yee Hang Hau Clinic	"Western Clinic, G/F, 8 Pui Shing Lane, Tseung Kwan O, New Territories"	114.26744	22.31631
Haven of Hope S K Yee Hau Tak Clinic	"Shop No. W017A, Ground Floor, West Wing of TKO Gateway, Hau Tak Estate, Sheung Ning Road, TKO (Western Clinic)"	138.5644531	-34.92390823
Haven of Hope S K Yee Po Lam Clinic	"Western Clinic, Unit 327-328, Po Ning House, Po Lam Estate, Tseung Kwan O, New Territories"	114.2616501	22.32155037
Haven of Hope Sau Mau Ping Clinic	"Western Clinic, Shop No. 314, Sau Mau Ping Shopping Centre, Sau Mau Ping Estate, Kowloon"	114.1949387	22.31832123
HKFTU Medical & Healthcare Centre (Causeway Bay Clinic)	"Western Medicine Clinic, 1/F, 5-13 Lee Garden Road, Causeway Bay, Hong Kong"	114.18323	22.27972
HKFTU Medical & Healthcare Centre (Central Clinic)	"X-ray Laboratory & Western Medicine Clinic, Flat A, B & C, 3/F, Siu Ying Commercial Building, 151-155 Queen's Road Central, Hong Kong"	114.1626587	22.27943039
Hong Kong Breast Cancer Foundation Breast Health Centre	"21/F, Jupiter Tower, 9 Jupiter Street, North Point, Hong Kong"	114.19227	22.28631
"Hong Kong Breast Cancer Foundation, Breast Health Center (Kowloon)"	"G/F, 28 Lung Cheung Road, Kowloon"	114.17795	22.34475
Hong Kong Chiu Chow Merchants Mutual Assistance Society Clinic	"2/F, Gold Union Commercial Building, 70-72 Connaught Road West, Hong Kong"	114.14673	22.28823
"Hong Kong Christian Service, Medical & Dental Clinic"	"Room 100, Room 105-110, Room 115-120, 1/F, 33 Granville Road, Tsim Sha Tsui, Kowloon"	114.1742	22.30012
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Kwun Tong Branch)	"Western Medicine Clinic, Shop B, G/F, Lai Yue Building, 3 Horse Shoe Lane, Kwun Tong, Kowloon"	114.22224	22.31455
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Mongkok Branch)	"Western Medicine Clinic, 1/F, Silver Commercial Building, 719 Nathan Road, Mongkok, Kowloon"	114.16871	22.32092
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tai Po Branch)	"Western Medicine Clinic, 1/F, Po Hong Mansion, 70-78 Kwong Fuk Road, Tai Po, New Territories"	114.16674	22.44861
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tsuen Wan Branch)	"Western Medicine Clinic, Unit A2, B1, B2 & D, G/F, Fou Wah Centre, 210 Castle Peak Road, Tsuen Wan, New Territories"	114.1183	22.37298
Hong Kong Federation of Trade Unions Workers' Medical Clinics (Tuen Mun Branch)	"Western Medicine Clinic, Shop No. 63, G/F, Eldo Court, 132 Heung Sze Wui Road, Tuen Mun, New Territories"	113.9802933	22.38767052
Hong Kong Red Swastika Society Free Clinic	"Western Clinic, No. 25 Dragon Road, Causeway Bay, Hong Kong"	114.1880493	22.27739906
Hong Kong Sports Institute Clinic	"Hong Kong Sports Institute Clinic, Sports Medicine Centre, L2, Sports Complex, Hong Kong Sports Institute, 25 Yuen Wo Road, Sha Tin, New Territories"	114.1921082	22.38268089
Hong Kong Tak Kow Chi Cheng Kok Clinic	"Shop No. 28, G/F, Kwan Yick Building, Phase 3, 271-285 Des Voeux Road West, Hong Kong"	114.1404	22.28817
Hong Kong Workers' Health Centre	"Room 1429 - 1437, 14/F, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon"	114.17611	22.3014
Hongkong & Kowloon Senior Citizens' Welfare Association Clinic	"Medical Clinic, 3/F, Great Eastern Mansion, 255-257 Reclamation Street, Yau Ma Tei, Kowloon"	114.1685	22.31458
Kiangsu Chekiang & Shanghai Medical Centre	"Room 111-122, 1/F, Max Share Centre, 367-373 King's Road, North Point, Hong Kong"	114.19788	22.29089
Kwun Tong Tsui Ping Road Estate Kaifong Welfare Association Registered Doctor Clinic	"L9, G/F, Tsui Nam House, Tsui Ping (North) Estate, Kwun Tong, Kowloon"	114.2305984	22.31056976
Lung Hing Tong Clinic	"Medical Clinic, G/F, 94 Ki Lung Street, Sham Shui Po, Kowloon"	114.16511	22.32652
Medical Clinic of Shek O Health Centre	"140 Shek O Village, Hong Kong"	114.1912231	22.33308029
"Medical Clinic of the Lok Sin Tong Benevolent Society, Kowloon"	"Western Clinic, G/F, 61 Lung Kong Road, Kowloon City, Kowloon"	114.19032	22.33005
PCHK Medical Services Eye Clinic	"Eye Clinic, 2/F, Tsz Wan Shan (South) Estate Community Centre, 45 Wan Wah Street, Wong Tai Sin, Kowloon"	114.19963	22.34638
Peace Medical Centre	"Room 6 and Room 7, G/F, 145 Hong Ning Road, Kwun Tong, Kowloon"	114.22285	22.3185499
Pentecostal Holiness Church Fung Tak Medical Centre	"Medical Clinic, Room 247-254, Ngan Fung House, Fung Tak Estate, Diamond Hill, Kowloon"	114.20681	22.33963013
Plant Clinic – Swire Beverages Limited T/A Swire Coca-Cola Hong Kong	"17-19 Yuen Shun Circuit, Siu Lek Yuen, Sha Tin, New Territories"	114.20823	22.38219
Po Leung Kuk Making Life Beautiful Integrated Health Centre	"Room 3, clinic assistants’ working area and clients’ waiting area of Room 1007-1008, 10/F, Hang Seng North Point Building, 341 King’s Road, North Point, Hong Kong"	114.2028503	22.28796959
Po Leung Kuk No.1 Integrated Health Centre	"Lobby & Room 2-4, 17/F, Prince Edward~The Lamma City, 761 Nathan Road, Kowloon"	114.16808	22.32471
