,name,longitude,latitude
0,611 TREE OF LIFE KINDERGARTEN,114.1681,22.2995
1,ABC PATHWAYS INTERNATIONAL KINDERGARTEN,114.1769,22.3315
2,ABC PATHWAYS INT'L KG (WHAMPOA GARDEN),114.1907,22.3049
3,ABERDEEN BAPTIST CHURCH PAK KWONG KG,114.1822,22.337
4,ABIDING KINDERGARTEN,114.165,22.3132
5,ACADEMY KINDERGARTEN (TIN SHUI WAI),114.0019,22.4685
6,AEFCHK - EFCC - PO NGA NURSERY SCHOOL,114.1982,22.2892
7,AEFCHK EFCC TIN YAN NURSERY SCHOOL,114.0057,22.4589
8,AEFCHK-EFCC-AGC ABUNDANT GRACE NUR SCH,114.2648,22.3187
9,AEFCHK-EFCC-VERBENA NURSERY SCH,114.1982,22.2892
10,AGNES ENGLISH KINDERGARTEN,114.1782,22.3322
11,AGNES KINDERGARTEN (GRANDEUR TERRACE),114.0019,22.4685
12,AGNES WISE KINDERGARTEN,114.151,22.2798
13,ALICE LAN&VERA SHEN EDU F DELIA PEI KG,114.1557,22.2809
14,ALICE LAN&VERA SHEN EDU F GORDON PEI KG,114.1557,22.2809
15,ALISON'S LETTERLAND INTERNATIONAL KG,114.1982,22.2892
16,ALLIANCE KINDERGARTEN,114.2397,22.2784
17,ALLWAY KINDERGARTEN,114.1042,22.3795
18,AMERICAN INTERNATIONAL SCHOOL,114.1783,22.3314
19,AMOY COLLEGE,114.1844,22.3211
20,ANANI KINDERGARTEN,114.165,22.3132
21,ANCHORS INTERNATIONAL NURSERY,114.0302,22.2054
22,ANCHORS KINDERGARTEN,114.1654,22.32
23,ANCHORS KINDERGARTEN (FANLING),114.1654,22.32
24,ANFIELD INTERNATIONAL KINDERGARTEN,114.1785,22.3373
25,ANNUNCIATION CATHOLIC KINDERGARTEN,114.0013,22.4497
26,ANTONIA INTERNATIONAL KINDERGARTEN,114.1769,22.3315
27,A-ONE KINDERGARTEN,114.165,22.3132
28,ARISTLE INTERNATIONAL KINDERGARTEN,114.1769,22.3315
29,ASBURY METHODIST KINDERGARTEN,114.1271,22.3459
30,ASHVILLE INTERNATIONAL KG(LANTAU ISLAND),113.9324,22.2286
31,ASSEMBLY OF GOD MCLEOD MEMORIAL KG,114.1596,22.4502
32,ASSEMBLY OF GOD UNION CHURCH KG,114.1845,22.3771
33,AUSTRALIAN INTERNATIONAL SCH HK,114.1779,22.3355
34,AVENDALE INTL KG (HARMONY GARDEN),114.2494,22.2655
35,AVENDALE INT'L KG (THE PARKSIDE),114.1982,22.2892
36,BAMBINO ENGLISH PLAYSCHOOL,114.2296,22.2756
37,BAPT CONVENTION OF HK RCHK NORTHWEST KG,114.1717,22.2812
38,BAPT OK SOCIAL SERV PUI YAN PRE-PRI SCH,114.1701,22.3308
39,BAPTIST CHURCH SHINING GRACE KG,114.1822,22.337
40,BAPTIST CONVENTION OF HK LEE ON NURSERY,114.1717,22.2812
41,BAPTIST CONVENTION OF HK PO TIN KG,114.1822,22.337
42,BAPTIST CONVENTION OF HK YIU HING KG,114.1822,22.337
43,BAPTIST OASIS ENGLISH KINDERGARTEN,113.9665,22.3841
44,BAPTIST PUI LI SCHOOL,114.2204,22.2828
45,BENEVOLENT LIGHT KINDERGARTEN,114.1756,22.3384
46,BEVERLY ANGLO-CHINESE KINDERGARTEN,114.2617,22.3103
47,BGCA HK CHEERLAND KG (KOWLOON BAY),114.1764,22.319
48,BGCAHK CHEERLAND KG (TSEUNG KWAN O),114.2496,22.3274
49,BGCAHK CHEERLAND KG (WONG TAI SIN),114.1925,22.343
50,BGCAHK CHEERLAND KINDERGARTEN (WANCHAI),114.165,22.3132
51,BILOK ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
52,BILOK CREATIVE KINDERGARTEN,114.2374,22.2778
53,BLESSING KINDERGARTEN (BELVEDERE),114.165,22.3132
54,BLOOMING BUDS PRESCHOOL,114.1669,22.3218
55,BO BO NURSERY SCHOOL,114.1982,22.2892
56,BOWIE ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
57,BOX HILL (HK) INTERNATIONAL KINDERGARTEN,114.2223,22.2384
58,BOX HILL (HK) INT'L K/G-FO TAN,114.2223,22.2384
59,BOX HILL (HK) INTL KG - TKO,114.1982,22.2892
60,BOX HILL(HK) INTL KG - WONDERLAND VILLAS,114.1359,22.3519
61,BRAEMAR HILL NURSERY SCHOOL,114.1982,22.2892
62,BRIGHTLAND INTERNATIONAL KINDERGARTEN,114.1769,22.3315
63,BRITISH COUNCIL INTERNATIONAL PRE-SCHOOL,114.1643,22.2762
