,name,longitude,latitude
0,ABERDEEN BAPTIST LUI MING CHOI COLLEGE,114.1546,22.2421
1,ABERDEEN TECHNICAL SCHOOL,114.1606,22.2489
2,AD&FDPOHL LEUNG SING TAK COLLEGE,114.0036,22.3722
3,AOG EVENING SECONDARY SCHOOL,114.1813,22.3724
4,AOG HEBRON EVENING SCHOOL,114.1596,22.4502
5,ARTS & TECHNOLOGY EDUCATION CENTRE,114.1593,22.2767
6,BAPTIST WING LUNG SECONDARY SCHOOL,113.9714,22.3988
7,BEACON COLLEGE,114.1709,22.3406
8,BELILIOS PUBLIC SCHOOL,114.1717,22.3101
9,BETHEL HIGH SCHOOL,114.0497,22.4762
10,BISHOP HALL JUBILEE SCHOOL,114.1814,22.3296
11,BUDDHIST FAT HO MEMORIAL COLLEGE,113.8664,22.2516
12,BUDDHIST HO NAM KAM COLLEGE,114.2393,22.3002
13,BUDDHIST HUNG SEAN CHAU MEMORIAL COLLEGE,114.2084,22.3381
14,BUDDHIST KOK KWONG SECONDARY SCHOOL,114.1936,22.3798
15,BUDDHIST MAU FUNG MEMORIAL COLLEGE,114.0082,22.4557
16,BUDDHIST SIN TAK COLLEGE,114.1298,22.3619
17,BUDDHIST TAI HUNG COLLEGE,114.1582,22.3397
18,BUDDHIST TAI KWONG CHI HONG COLLEGE,114.1634,22.4529
19,BUDDHIST WAI YAN MEMORIAL COLLEGE,114.0266,22.2048
20,BUDDHIST WONG WAN TIN COLLEGE,114.1779,22.3779
21,BUDDHIST YIP KEI NAM MEMORIAL COLLEGE,114.1079,22.3489
22,C&MA SUN KEI SECONDARY SCHOOL,114.2088,22.2907
23,CANOSSA COLLEGE,114.2113,22.2892
24,CARITAS CHAI WAN MARDEN FDN SEC SCH,114.2442,22.2646
25,CARITAS CHAN CHUN HA FIELD STUDIES CTR,114.0374,22.2072
26,CARITAS CHAN CHUN HA FIELD STUDIES CTR,114.0374,22.2072
27,CARITAS CHARLES VATH COLLEGE,113.9323,22.2758
28,CARITAS CHONG YUET MING SEC SCH,114.1358,22.2529
29,CARITAS FANLING CHAN CHUN HA SEC SCH,114.1418,22.4911
30,CARITAS MA ON SHAN SECONDARY SCHOOL,114.2388,22.4253
31,CARITAS MOTHER TERESA SCHOOL,114.1845,22.3262
32,CARITAS ST JOSEPH SEC SCH,114.1031,22.3568
33,CARITAS TUEN MUN MARDEN FDN SEC SCH,113.9667,22.4013
34,CARITAS WU CHENG-CHUNG SECONDARY SCHOOL,114.1294,22.2677
35,CARITAS YL CHAN CHUN HA SEC SCH,114.026,22.441
36,CARMEL ALISON LAM FOUNDATION SEC SCH,114.1337,22.3504
37,CARMEL HOLY WORD SECONDARY SCHOOL,114.1604,22.4527
38,CARMEL PAK U SECONDARY SCHOOL,114.1708,22.4545
39,CARMEL SECONDARY SCHOOL,114.1797,22.3101
40,CATHOLIC MING YUEN SECONDARY SCHOOL,114.0209,22.4448
41,CCC CHUEN YUEN COLLEGE,114.1261,22.3681
42,CCC FONG YUN WAH SECONDARY SCHOOL,114.006,22.4647
43,CCC FUNG LEUNG KIT MEMORIAL SEC SCH,114.173,22.448
44,CCC HEEP WOH COLLEGE,114.1721,22.3239
45,CCC KEI CHI SECONDARY SCHOOL,114.1905,22.3135
46,CCC KEI HEEP SECONDARY SCHOOL,114.1905,22.3135
47,CCC KEI LONG COLLEGE,114.1646,22.319
48,CCC KEI SAN SECONDARY SCHOOL,114.1905,22.3135
49,CCC KEI TO SEC SCH,114.1905,22.3135
